test_id,hypothesis_id,run_id,session_timestamp,domain_description,proposing_llm,resulting_hypothesis_text,discovery_test_type,outcome_framing,discovery_raw_p,discovery_fdr_p,discovery_pass,confirmation_pass,confirmation_raw_p,confound_check_summary,outcome_note,archived
run-8d4c1360-T0007,run-8d4c1360-H08,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,codon degeneracy / genetic code redundancy,Opus,Drugs named as combinations (containing '/' or 'and') exploit redundant multi-target coverage and repurpose better.,binary,narrow,,,,,,,not tested: feature is constant in this subset,False
run-8d4c1360-T0008,run-8d4c1360-H08,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,codon degeneracy / genetic code redundancy,Opus,Drugs named as combinations (containing '/' or 'and') exploit redundant multi-target coverage and repurpose better.,binary,broad,,,,,,,not tested: feature is constant in this subset,False
,run-8d4c1360-H09,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,codon degeneracy / genetic code redundancy,Opus,The degeneracy factor (number of indications sharing a drug's mechanism class) predicts success.,,,,,,,,,NEEDS_ENRICHMENT: Requires mechanism-of-action class labels per drug and counts of indications per MoA class; not in dataset.,False
run-8d4c1360-T0009,run-8d4c1360-H10,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,founder effects in island biogeography,Opus,Indications flagged as rare/orphan/refractory predict higher repurposing success due to low competitive pressure.,binary,narrow,,,,,,,not tested: feature is constant in this subset,False
run-8d4c1360-T0010,run-8d4c1360-H10,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,founder effects in island biogeography,Opus,Indications flagged as rare/orphan/refractory predict higher repurposing success due to low competitive pressure.,binary,broad,,,,,,,not tested: perfect separation (empty cell in 2x2 table),False
run-8d4c1360-T0011,run-8d4c1360-H11,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,founder effects / oncology archipelago (consolidated with Sol exaptation & real-option oncology),Sol,Candidate indications containing oncology terms predict higher repurposing success.,fisher_exact,narrow,2.3276160010997577e-13,1.134712800536132e-12,True,True,5.32977931348208e-14,"{""status"": ""completed"", ""note"": ""candidate explanations checked \u2014 not the confirmed mechanism"", ""confounders"": [{""confound_name"": ""oncology prior-repurposing intensity"", ""rationale"": ""Oncology drugs are historically subjected to far more repurposing attempts (basket trials, combination screens), so oncology indications carry high prior_repurposing_count, which itself mechanically predicts logged repurposing success. The keyword flag may simply be a proxy for accumulated prior attempts rather than any conserved-machinery biology."", ""computable"": true, ""feature_spec"": {""op"": ""prc_threshold"", ""params"": {""k"": 1}}}, {""confound_name"": ""established-product status of oncology agents"", ""rationale"": ""Many oncology candidates are already-approved cytotoxics or targeted agents (established_product = true), and established drugs have known safety/PK profiles that make any repurposing more likely to succeed. The oncology keyword may co-occur with established status, so success is driven by product maturity, not cancer's molecular subtype structure."", ""computable"": true, ""feature_spec"": {""op"": ""established""}}, {""confound_name"": ""kinase-inhibitor drug-class dominance"", ""rationale"": ""Oncology indications are disproportionately paired with kinase inhibitors (drug names ending in '-tinib'), a class with broad polypharmacology that is intrinsically easy to repurpose across many targets. The signal could reflect this drug-class promiscuity rather than indication-side conserved growth machinery."", ""computable"": true, ""feature_spec"": {""op"": ""drug_keyword"", ""params"": {""keywords"": [""tinib"", ""ciclib"", ""lisib"", ""parib"", ""degib""]}}}], ""checks"": [{""confound_name"": ""oncology prior-repurposing intensity"", ""rationale"": ""Oncology drugs are historically subjected to far more repurposing attempts (basket trials, combination screens), so oncology indications carry high prior_repurposing_count, which itself mechanically predicts logged repurposing success. The keyword flag may simply be a proxy for accumulated prior attempts rather than any conserved-machinery biology."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.07242596286634954, ""p_unadjusted"": 2.3276160010997577e-13, ""or_adjusted"": null, ""ci_low_adjusted"": null, ""ci_high_adjusted"": null, ""p_adjusted"": null, ""n"": 2913, ""survives_adjustment"": null, ""note"": ""covariate not testable: perfect separation (empty cell in 2x2 table)""}}, {""confound_name"": ""established-product status of oncology agents"", ""rationale"": ""Many oncology candidates are already-approved cytotoxics or targeted agents (established_product = true), and established drugs have known safety/PK profiles that make any repurposing more likely to succeed. The oncology keyword may co-occur with established status, so success is driven by product maturity, not cancer's molecular subtype structure."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.0724, ""p_unadjusted"": 0.0, ""or_adjusted"": 0.0763, ""ci_low_adjusted"": 0.0419, ""ci_high_adjusted"": 0.1391, ""p_adjusted"": 0.0, ""n"": 2913, ""survives_adjustment"": true, ""note"": ""effect survives adjustment""}}, {""confound_name"": ""kinase-inhibitor drug-class dominance"", ""rationale"": ""Oncology indications are disproportionately paired with kinase inhibitors (drug names ending in '-tinib'), a class with broad polypharmacology that is intrinsically easy to repurpose across many targets. The signal could reflect this drug-class promiscuity rather than indication-side conserved growth machinery."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.0724, ""p_unadjusted"": 0.0, ""or_adjusted"": 0.1233, ""ci_low_adjusted"": 0.0597, ""ci_high_adjusted"": 0.2548, ""p_adjusted"": 0.0, ""n"": 2913, ""survives_adjustment"": true, ""note"": ""effect survives adjustment""}}]}","OR=0.0724 CI[0.0399,0.13] n=2913 mech: Cancer's many molecular subtypes share conserved growth/survival machinery, creating abundant colonizable niches where one mechanism can be exapted across subtypes.",False
run-8d4c1360-T0012,run-8d4c1360-H11,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,founder effects / oncology archipelago (consolidated with Sol exaptation & real-option oncology),Sol,Candidate indications containing oncology terms predict higher repurposing success.,fisher_exact,broad,0.0,0.0,True,True,0.0,"{""status"": ""completed"", ""note"": ""candidate explanations checked \u2014 not the confirmed mechanism"", ""confounders"": [{""confound_name"": ""oncology prior-repurposing intensity"", ""rationale"": ""Oncology drugs are historically subjected to far more repurposing attempts (basket trials, combination screens), so oncology indications carry high prior_repurposing_count, which itself mechanically predicts logged repurposing success. The keyword flag may simply be a proxy for accumulated prior attempts rather than any conserved-machinery biology."", ""computable"": true, ""feature_spec"": {""op"": ""prc_threshold"", ""params"": {""k"": 1}}}, {""confound_name"": ""established-product status of oncology agents"", ""rationale"": ""Many oncology candidates are already-approved cytotoxics or targeted agents (established_product = true), and established drugs have known safety/PK profiles that make any repurposing more likely to succeed. The oncology keyword may co-occur with established status, so success is driven by product maturity, not cancer's molecular subtype structure."", ""computable"": true, ""feature_spec"": {""op"": ""established""}}, {""confound_name"": ""kinase-inhibitor drug-class dominance"", ""rationale"": ""Oncology indications are disproportionately paired with kinase inhibitors (drug names ending in '-tinib'), a class with broad polypharmacology that is intrinsically easy to repurpose across many targets. The signal could reflect this drug-class promiscuity rather than indication-side conserved growth machinery."", ""computable"": true, ""feature_spec"": {""op"": ""drug_keyword"", ""params"": {""keywords"": [""tinib"", ""ciclib"", ""lisib"", ""parib"", ""degib""]}}}], ""checks"": [{""confound_name"": ""oncology prior-repurposing intensity"", ""rationale"": ""Oncology drugs are historically subjected to far more repurposing attempts (basket trials, combination screens), so oncology indications carry high prior_repurposing_count, which itself mechanically predicts logged repurposing success. The keyword flag may simply be a proxy for accumulated prior attempts rather than any conserved-machinery biology."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.07242596286634954, ""p_unadjusted"": 2.3276160010997577e-13, ""or_adjusted"": null, ""ci_low_adjusted"": null, ""ci_high_adjusted"": null, ""p_adjusted"": null, ""n"": 2913, ""survives_adjustment"": null, ""note"": ""covariate not testable: perfect separation (empty cell in 2x2 table)""}}, {""confound_name"": ""established-product status of oncology agents"", ""rationale"": ""Many oncology candidates are already-approved cytotoxics or targeted agents (established_product = true), and established drugs have known safety/PK profiles that make any repurposing more likely to succeed. The oncology keyword may co-occur with established status, so success is driven by product maturity, not cancer's molecular subtype structure."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.0724, ""p_unadjusted"": 0.0, ""or_adjusted"": 0.0763, ""ci_low_adjusted"": 0.0419, ""ci_high_adjusted"": 0.1391, ""p_adjusted"": 0.0, ""n"": 2913, ""survives_adjustment"": true, ""note"": ""effect survives adjustment""}}, {""confound_name"": ""kinase-inhibitor drug-class dominance"", ""rationale"": ""Oncology indications are disproportionately paired with kinase inhibitors (drug names ending in '-tinib'), a class with broad polypharmacology that is intrinsically easy to repurpose across many targets. The signal could reflect this drug-class promiscuity rather than indication-side conserved growth machinery."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.0724, ""p_unadjusted"": 0.0, ""or_adjusted"": 0.1233, ""ci_low_adjusted"": 0.0597, ""ci_high_adjusted"": 0.2548, ""p_adjusted"": 0.0, ""n"": 2913, ""survives_adjustment"": true, ""note"": ""effect survives adjustment""}}]}","OR=0.0281 CI[0.0228,0.035] n=4203 mech: Cancer's many molecular subtypes share conserved growth/survival machinery, creating abundant colonizable niches where one mechanism can be exapted across subtypes.",False
,run-8d4c1360-H12,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,founder effects in island biogeography,Opus,Geographic isolation analog (regulatory-region-exclusive approvals) predicts success.,,,,,,,,,NEEDS_ENRICHMENT: Requires regulatory jurisdiction / market-region column per drug-indication pair; not in dataset.,False
run-8d4c1360-T0013,run-8d4c1360-H13,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,exaptation (co-option of traits) / software module reuse (consolidated 'mab'/'nib' stems),Sol,"Drug names containing targeted-therapy stems ('mab', 'nib') predict higher repurposing success.",fisher_exact,narrow,1.505108249920721e-09,5.327477712160855e-09,True,True,1.1351813701734138e-05,"{""status"": ""completed"", ""note"": ""candidate explanations checked \u2014 not the confirmed mechanism"", ""confounders"": [{""confound_name"": ""modern-era approval recency"", ""rationale"": ""The '-mab'/'-nib' stems only entered widespread use post-2000, so these drugs are systematically newer and more likely to be active/marketed rather than discontinued, which inflates apparent repurposing success independent of any modular-target mechanism. The stem is thus a proxy for approval recency, and recency correlates with being an established/marketed product still under active investigation."", ""computable"": true, ""feature_spec"": {""op"": ""established""}}, {""confound_name"": ""prior repurposing momentum"", ""rationale"": ""Targeted therapies are commercially valuable blockbusters that attract disproportionate reuse attempts, so drugs already repurposed many times carry both the stem and a high baseline propensity for further repurposing success. The correlation may reflect accumulated investment momentum rather than platform modularity."", ""computable"": true, ""feature_spec"": {""op"": ""prc_threshold"", ""params"": {""k"": 1}}}, {""confound_name"": ""oncology indication concentration"", ""rationale"": ""The vast majority of '-mab'/'-nib' drugs are oncology agents, and cancer indications have unusually dense trial ecosystems and high cross-indication reuse rates, so the stem may simply be tagging the oncology therapeutic area whose infrastructure drives repurposing success. Success would then track being a cancer drug, not the antibody/inhibitor platform per se."", ""computable"": true, ""feature_spec"": {""op"": ""ind_keyword"", ""params"": {""keywords"": [""cancer"", ""carcinoma"", ""tumor"", ""tumour"", ""lymphoma"", ""leukemia"", ""melanoma"", ""sarcoma"", ""oncolog"", ""neoplasm""]}}}], ""checks"": [{""confound_name"": ""modern-era approval recency"", ""rationale"": ""The '-mab'/'-nib' stems only entered widespread use post-2000, so these drugs are systematically newer and more likely to be active/marketed rather than discontinued, which inflates apparent repurposing success independent of any modular-target mechanism. The stem is thus a proxy for approval recency, and recency correlates with being an established/marketed product still under active investigation."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.0696, ""p_unadjusted"": 0.0, ""or_adjusted"": 0.0738, ""ci_low_adjusted"": 0.0367, ""ci_high_adjusted"": 0.1483, ""p_adjusted"": 0.0, ""n"": 2913, ""survives_adjustment"": true, ""note"": ""effect survives adjustment""}}, {""confound_name"": ""prior repurposing momentum"", ""rationale"": ""Targeted therapies are commercially valuable blockbusters that attract disproportionate reuse attempts, so drugs already repurposed many times carry both the stem and a high baseline propensity for further repurposing success. The correlation may reflect accumulated investment momentum rather than platform modularity."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.069593147751606, ""p_unadjusted"": 1.505108249920721e-09, ""or_adjusted"": null, ""ci_low_adjusted"": null, ""ci_high_adjusted"": null, ""p_adjusted"": null, ""n"": 2913, ""survives_adjustment"": null, ""note"": ""covariate not testable: perfect separation (empty cell in 2x2 table)""}}, {""confound_name"": ""oncology indication concentration"", ""rationale"": ""The vast majority of '-mab'/'-nib' drugs are oncology agents, and cancer indications have unusually dense trial ecosystems and high cross-indication reuse rates, so the stem may simply be tagging the oncology therapeutic area whose infrastructure drives repurposing success. Success would then track being a cancer drug, not the antibody/inhibitor platform per se."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.0696, ""p_unadjusted"": 0.0, ""or_adjusted"": 0.2688, ""ci_low_adjusted"": 0.1121, ""ci_high_adjusted"": 0.6445, ""p_adjusted"": 0.003236, ""n"": 2913, ""survives_adjustment"": true, ""note"": ""effect survives adjustment""}}]}","OR=0.0696 CI[0.0344,0.135] n=2913 mech: Antibody and small-molecule-inhibitor stems denote modular platforms hitting conserved target families, so a validated component can be reused across diseases driven by related signaling modules.",False
run-8d4c1360-T0014,run-8d4c1360-H13,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,exaptation (co-option of traits) / software module reuse (consolidated 'mab'/'nib' stems),Sol,"Drug names containing targeted-therapy stems ('mab', 'nib') predict higher repurposing success.",fisher_exact,broad,1.0974496643207577e-83,8.560107381701909e-83,True,True,7.399772511732507e-32,"{""status"": ""completed"", ""note"": ""candidate explanations checked \u2014 not the confirmed mechanism"", ""confounders"": [{""confound_name"": ""modern-era approval recency"", ""rationale"": ""The '-mab'/'-nib' stems only entered widespread use post-2000, so these drugs are systematically newer and more likely to be active/marketed rather than discontinued, which inflates apparent repurposing success independent of any modular-target mechanism. The stem is thus a proxy for approval recency, and recency correlates with being an established/marketed product still under active investigation."", ""computable"": true, ""feature_spec"": {""op"": ""established""}}, {""confound_name"": ""prior repurposing momentum"", ""rationale"": ""Targeted therapies are commercially valuable blockbusters that attract disproportionate reuse attempts, so drugs already repurposed many times carry both the stem and a high baseline propensity for further repurposing success. The correlation may reflect accumulated investment momentum rather than platform modularity."", ""computable"": true, ""feature_spec"": {""op"": ""prc_threshold"", ""params"": {""k"": 1}}}, {""confound_name"": ""oncology indication concentration"", ""rationale"": ""The vast majority of '-mab'/'-nib' drugs are oncology agents, and cancer indications have unusually dense trial ecosystems and high cross-indication reuse rates, so the stem may simply be tagging the oncology therapeutic area whose infrastructure drives repurposing success. Success would then track being a cancer drug, not the antibody/inhibitor platform per se."", ""computable"": true, ""feature_spec"": {""op"": ""ind_keyword"", ""params"": {""keywords"": [""cancer"", ""carcinoma"", ""tumor"", ""tumour"", ""lymphoma"", ""leukemia"", ""melanoma"", ""sarcoma"", ""oncolog"", ""neoplasm""]}}}], ""checks"": [{""confound_name"": ""modern-era approval recency"", ""rationale"": ""The '-mab'/'-nib' stems only entered widespread use post-2000, so these drugs are systematically newer and more likely to be active/marketed rather than discontinued, which inflates apparent repurposing success independent of any modular-target mechanism. The stem is thus a proxy for approval recency, and recency correlates with being an established/marketed product still under active investigation."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.0696, ""p_unadjusted"": 0.0, ""or_adjusted"": 0.0738, ""ci_low_adjusted"": 0.0367, ""ci_high_adjusted"": 0.1483, ""p_adjusted"": 0.0, ""n"": 2913, ""survives_adjustment"": true, ""note"": ""effect survives adjustment""}}, {""confound_name"": ""prior repurposing momentum"", ""rationale"": ""Targeted therapies are commercially valuable blockbusters that attract disproportionate reuse attempts, so drugs already repurposed many times carry both the stem and a high baseline propensity for further repurposing success. The correlation may reflect accumulated investment momentum rather than platform modularity."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.069593147751606, ""p_unadjusted"": 1.505108249920721e-09, ""or_adjusted"": null, ""ci_low_adjusted"": null, ""ci_high_adjusted"": null, ""p_adjusted"": null, ""n"": 2913, ""survives_adjustment"": null, ""note"": ""covariate not testable: perfect separation (empty cell in 2x2 table)""}}, {""confound_name"": ""oncology indication concentration"", ""rationale"": ""The vast majority of '-mab'/'-nib' drugs are oncology agents, and cancer indications have unusually dense trial ecosystems and high cross-indication reuse rates, so the stem may simply be tagging the oncology therapeutic area whose infrastructure drives repurposing success. Success would then track being a cancer drug, not the antibody/inhibitor platform per se."", ""computable"": true, ""adjustment_result"": {""or_unadjusted"": 0.0696, ""p_unadjusted"": 0.0, ""or_adjusted"": 0.2688, ""ci_low_adjusted"": 0.1121, ""ci_high_adjusted"": 0.6445, ""p_adjusted"": 0.003236, ""n"": 2913, ""survives_adjustment"": true, ""note"": ""effect survives adjustment""}}]}","OR=0.0861 CI[0.065,0.116] n=4203 mech: Antibody and small-molecule-inhibitor stems denote modular platforms hitting conserved target families, so a validated component can be reused across diseases driven by related signaling modules.",False
run-8d4c1360-T0015,run-8d4c1360-H14,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,exaptation (co-option of traits),Opus,"Indications mentioning symptomatic/off-target effects (e.g. 'pain', 'fatigue', 'nausea') reflect co-opted secondary functions.",fisher_exact,narrow,0.2830687905551196,0.4088771419129505,False,,,,"OR=0.507 CI[0.113,1.51] n=2913 mech: Symptom-level indications are frequently reached via off-target (exaptive) pharmacology rather than primary mechanism.",False
run-8d4c1360-T0016,run-8d4c1360-H14,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,exaptation (co-option of traits),Opus,"Indications mentioning symptomatic/off-target effects (e.g. 'pain', 'fatigue', 'nausea') reflect co-opted secondary functions.",fisher_exact,broad,0.6347370297537844,0.7157928267811825,False,,,,"OR=1.14 CI[0.697,1.81] n=4203 mech: Symptom-level indications are frequently reached via off-target (exaptive) pharmacology rather than primary mechanism.",False
,run-8d4c1360-H15,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,exaptation (co-option of traits),Opus,Quantified off-target binding promiscuity predicts exaptive repurposing.,,,,,,,,,NEEDS_ENRICHMENT: Requires drug polypharmacology / off-target binding profile scores per drug; not in dataset.,False
,run-8d4c1360-H16,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,preferential attachment in citation networks,Sol,A larger pre-candidate number of publications about a drug predicts repurposing success.,,,,,,,,,NEEDS_ENRICHMENT: Requires drug-level publication counts measured before each candidate decision; not in dataset.,False
,run-8d4c1360-H17,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,preferential attachment in citation networks,Sol,A larger pre-candidate number of distinct sponsors or investigators working on a drug predicts repurposing success.,,,,,,,,,NEEDS_ENRICHMENT: Requires time-stamped drug-to-sponsor/investigator participation records; not in dataset.,False
,run-8d4c1360-H18,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,preferential attachment in citation networks,Sol,Higher centrality of a drug in a pre-existing drug-disease research network predicts repurposing success.,,,,,,,,,NEEDS_ENRICHMENT: Requires a time-stamped drug-disease research graph (trials/publications/associations) predating candidate use; not in dataset.,False
,run-8d4c1360-H19,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,software module reuse in dependency ecosystems,Sol,Drugs belonging to target families with many already drugged members predict higher repurposing success.,,,,,,,,,"NEEDS_ENRICHMENT: Requires drug-target mappings, target-family classifications, and per-family drugged-member counts; not in dataset.",False
run-8d4c1360-T0017,run-8d4c1360-H20,run-8d4c1360,2026-07-19T01:11:00.868927+00:00,immune-mediated shared-effector repurposing,Sol,Candidate indications containing immune-mediated disease terms predict higher repurposing success.,fisher_exact,narrow,0.4453093095303848,0.560227841022097,False,,,,"OR=0.633 CI[0.183,1.66] n=2913 mech: Shared inflammatory effectors allow an immune-modulating mechanism validated in one disease to become useful in another distinct autoimmune indication.",False
